uni_id,first_name,last_name,phone_number,email,addr,gender
100,Laurel,Waverly,4930111950,LaurelWaverly@example.com,426 Ennis Ave,F
101,Gabriell,Moises,5162517751,GabriellMoises@example.com,485 Gotha Dr,M
102,Wilhelmina,Des,5814115062,WilhelminaDes@example.com,702 Gleneaston Ave,F
103,Seana,Aubert,6351952138,SeanaAubert@example.com,774 Howells Rd,F
104,Deanne,Hobie,3207967264,DeanneHobie@example.com,635 Gapville Dr,M
105,Yovonnda,Terrance,3511055251,YovonndaTerrance@example.com,587 Martinsville St,M
106,Myrilla,Lucias,5962519057,MyrillaLucias@example.com,317 Tabiona Way,M
107,Gwenneth,Weber,6074213088,GwennethWeber@example.com,881 Adairville St,M
108,Anna-Maria,Spenser,6136447883,Anna-MariaSpenser@example.com,856 Lusk St,M
109,Marijo,Hercule,6708504143,MarijoHercule@example.com,950 Hydesville Dr,F
110,Desirae,Isa,2038659529,DesiraeIsa@example.com,612 Elkmound Ave,M
111,Roxane,Euell,2503098596,RoxaneEuell@example.com,576 Cora Rd,F
112,Cristina,Forest,3289750100,CristinaForest@example.com,877 Zeona St,F
113,Brittan,Lloyd,6543888289,BrittanLloyd@example.com,110 Easley Rd,F
114,Alisha,Romeo,1975610931,AlishaRomeo@example.com,948 Bondville Way,M
115,Catherina,Stefan,8364052223,CatherinaStefan@example.com,714 Lynnfield St,F
116,Mei,Nye,7658740340,MeiNye@example.com,315 Mifflin Rd,F
117,Trescha,Rainer,7709203636,TreschaRainer@example.com,254 Fouroaks Way,F
118,Allison,Johann,8917415188,AllisonJohann@example.com,287 Rosemead Way,F
119,Ilysa,Maximilianus,2803483092,IlysaMaximilianus@example.com,276 Magee Rd,M
120,Isa,Adair,8590707181,IsaAdair@example.com,519 Cokeburg Rd,M
121,Millicent,Ernestus,9162737892,MillicentErnestus@example.com,927 Collierville Way,F
122,Alisa,Broderick,7771931114,AlisaBroderick@example.com,470 Orma St,M
123,Gerda,Joshua,5123685045,GerdaJoshua@example.com,440 Wanatah Dr,M
124,Geri,Rosco,9163887002,GeriRosco@example.com,233 Weedville Way,M
125,Candra,Harbert,9613834153,CandraHarbert@example.com,519 Yolyn Way,M
126,Ashlie,Garret,4140918979,AshlieGarret@example.com,487 Rhineland Dr,M
127,Jilleen,Gayle,9341481697,JilleenGayle@example.com,290 Strathmore Way,M
128,Leodora,Elvin,5430379915,LeodoraElvin@example.com,363 Rockville St,F
129,Gisela,Tully,4029632339,GiselaTully@example.com,110 Klondike Dr,M
130,Sabra,Tedd,1170218391,SabraTedd@example.com,475 Thackerville Dr,M
131,Rosmunda,Shepherd,5217940190,RosmundaShepherd@example.com,927 Stamps Ave,F
132,Lizbeth,Taite,4739500012,LizbethTaite@example.com,637 Ragley Dr,F
133,Chere,Guilbert,6255541599,ChereGuilbert@example.com,711 Wachapreague Way,M
134,Alika,Ronny,6660730963,AlikaRonny@example.com,877 Onawa Ave,F
135,Claribel,Corbett,3190388841,ClaribelCorbett@example.com,951 Millbrae St,F
136,Ernestine,Matty,6367485626,ErnestineMatty@example.com,572 McGehee Rd,M
137,Florette,Isiahi,2827917514,FloretteIsiahi@example.com,960 Adah Dr,F
138,Catlaina,Byrom,3520420715,CatlainaByrom@example.com,211 Deerbrook Way,F
139,Noelle,Lewiss,4436318314,NoelleLewiss@example.com,911 Kenedy Ave,M
140,Shari,Edan,7341728245,ShariEdan@example.com,962 Ekwok Rd,M
141,Esme,Scarface,5976584557,EsmeScarface@example.com,248 Mendocino Way,F
142,Arden,Sky,2321445298,ArdenSky@example.com,257 Uwchland Way,M
143,Ortensia,Euell,9084886896,OrtensiaEuell@example.com,110 Rindge Ave,M
144,Tammara,Tanny,1529086129,TammaraTanny@example.com,722 Wyocena Rd,F
145,Jewell,Maurizio,7431086033,JewellMaurizio@example.com,815 Anasco St,M
146,Jacky,Xavier,8839353858,JackyXavier@example.com,202 Peytonsburg Dr,M
147,Jemima,Eduard,3848208259,JemimaEduard@example.com,987 Bettsville Way,F
148,Anissa,Zed,8038863670,AnissaZed@example.com,553 Hallsboro Ave,F
149,Kassi,Gerrard,9393520909,KassiGerrard@example.com,795 Gause Rd,M
